driverId,cons,num,pos,postex,poi,grid,laps,tim,millis,fastl,rank
button,mclaren,22,14,14,0,12,56,,,33,8
nasr,sauber,12,15,15,0,17,56,,,48,13
wehrlein,manor,94,16,16,0,21,56,,,34,12
ericsson,sauber,9,17,R,0,15,38,,,15,21
raikkonen,ferrari,7,18,R,0,4,21,,,21,5
haryanto,manor,88,19,R,0,22,17,,,15,20
gutierrez,haas,21,20,R,0,20,16,,,4,19
alonso,mclaren,14,21,R,0,11,16,,,14,11
kvyat,red_bull,26,22,W,0,18,0,,,,
rosberg,mercedes,6,1,1,25,2,57,1:33:34.696,5614696,41,1
raikkonen,ferrari,7,2,2,18,4,57,+10.282,5624978,39,3
hamilton,mercedes,44,3,3,15,1,57,+30.148,5644844,43,2
ricciardo,red_bull,3,4,4,12,5,57,+1:02.494,5677190,44,9
grosjean,haas,8,5,5,10,9,57,+1:18.299,5692995,42,11
max_verstappen,toro_rosso,33,6,6,8,10,57,+1:20.929,5695625,49,7
kvyat,red_bull,26,7,7,6,15,56,,,36,8
massa,williams,19,8,8,4,7,56,,,31,16
vettel,ferrari,5,1,1,25,2,57,1:24:11.672,5051672,53,3
hamilton,mercedes,44,2,2,18,1,57,+9.975,5061647,44,6
bottas,mercedes,77,3,3,15,3,57,+11.250,5062922,56,2
raikkonen,ferrari,7,4,4,12,4,57,+22.393,5074065,56,1
max_verstappen,red_bull,33,5,5,10,5,57,+28.827,5080499,43,5
massa,williams,19,6,6,8,7,57,+1:23.386,5135058,49,9
perez,force_india,11,7,7,6,10,56,,,56,10
sainz,toro_rosso,55,8,8,4,8,56,,,53,8
kvyat,toro_rosso,26,9,9,2,9,56,,,51,4
ocon,force_india,31,10,10,1,13,56,,,55,11
hulkenberg,renault,27,11,11,0,11,56,,,55,12
giovinazzi,sauber,36,12,12,0,16,55,,,51,13
vandoorne,mclaren,2,13,13,0,18,55,,,53,15
alonso,mclaren,14,14,R,0,12,50,,,48,17
kevin_magnussen,haas,20,15,R,0,17,46,,,46,7
stroll,williams,18,16,R,0,20,40,,,38,14
ricciardo,red_bull,3,17,R,0,0,25,,,21,16
ericsson,sauber,9,18,R,0,14,21,,,18,19
jolyon_palmer,renault,30,19,R,0,19,15,,,6,20
grosjean,haas,8,20,R,0,6,13,,,12,18
hamilton,mercedes,44,1,1,25,1,56,1:37:36.158,5856158,44,1
vettel,ferrari,5,2,2,18,2,56,+6.250,5862408,40,2
max_verstappen,red_bull,33,3,3,15,16,56,+45.192,5901350,31,7
ricciardo,red_bull,3,4,4,12,5,56,+46.035,5902193,36,8
raikkonen,ferrari,7,5,5,10,4,56,+48.076,5904234,42,4
bottas,mercedes,77,6,6,8,3,56,+48.808,5904966,41,3
sainz,toro_rosso,55,7,7,6,11,56,+1:12.893,5929051,30,10
kevin_magnussen,haas,20,8,8,4,12,55,,,35,11
perez,force_india,11,9,9,2,8,55,,,55,6
ocon,force_india,31,10,10,1,17,55,,,55,9
vettel,ferrari,5,1,1,25,3,58,1:29:33.283,5373283,53,4
hamilton,mercedes,44,2,2,18,1,58,+5.036,5378319,50,3
raikkonen,ferrari,7,3,3,15,2,58,+6.309,5379592,57,2
ricciardo,red_bull,3,4,4,12,8,58,+7.069,5380352,54,1
