constructorId,name,points,status,raceId
williams,Williams,0,Finished,4
williams,Williams,0,Finished,19
williams,Williams,0,Finished,19
williams,Williams,0,Finished,3
williams,Williams,0,Finished,15
williams,Williams,0,Finished,15
williams,Williams,0,Finished,16
williams,Williams,0,Finished,7
williams,Williams,0,Finished,8
williams,Williams,0,Finished,11
williams,Williams,0,Finished,12
williams,Williams,0,Finished,13
williams,Williams,0,Finished,15
williams,Williams,0,Finished,16
williams,Williams,0,Finished,16
williams,Williams,0,Finished,2
williams,Williams,0,Finished,3
williams,Williams,0,Finished,3
williams,Williams,0,Finished,4
williams,Williams,0,Finished,4
williams,Williams,0,Finished,6
williams,Williams,0,Finished,8
williams,Williams,0,Finished,8
williams,Williams,0,Finished,9
williams,Williams,0,Finished,11
williams,Williams,0,Finished,12
williams,Williams,0,Finished,12
williams,Williams,0,Finished,13
williams,Williams,0,Finished,13
williams,Williams,0,Finished,14
williams,Williams,0,Finished,14
williams,Williams,0,Finished,16
williams,Williams,0,Finished,17
williams,Williams,0,Finished,12
williams,Williams,0,Finished,14
williams,Williams,0,Finished,16
williams,Williams,0,Finished,6
williams,Williams,0,Finished,10
williams,Williams,0,Finished,10
williams,Williams,0,Finished,20
williams,Williams,0,Finished,12
williams,Williams,0,Finished,14
williams,Williams,0,Finished,1
williams,Williams,0,Finished,3
williams,Williams,0,Finished,3
williams,Williams,0,Finished,10
williams,Williams,0,Finished,10
williams,Williams,0,Finished,11
williams,Williams,0,Finished,15
williams,Williams,0,Finished,20
williams,Williams,0,Finished,1
williams,Williams,0,Finished,4
williams,Williams,0,Finished,4
williams,Williams,0,Finished,7
williams,Williams,0,Finished,8
williams,Williams,0,Finished,8
williams,Williams,0,Finished,9
williams,Williams,0,Finished,11
williams,Williams,0,Finished,13
williams,Williams,0,Finished,16
williams,Williams,0,Finished,6
williams,Williams,0,Finished,14
williams,Williams,0,Finished,21
williams,Williams,0,Finished,1
williams,Williams,0,Finished,1
williams,Williams,0,Finished,5
williams,Williams,0,Finished,9
williams,Williams,0,Finished,9
williams,Williams,0,Finished,10
williams,Williams,0,Finished,12
williams,Williams,0,Finished,15
williams,Williams,0,Finished,19
williams,Williams,0,Finished,19
williams,Williams,0,Finished,21
williams,Williams,0,Finished,21
renault,Renault,0,Finished,1
force_india,Force India,0,Finished,1
toro_rosso,Toro Rosso,0,Finished,1
toro_rosso,Toro Rosso,0,Finished,2
sauber,Sauber,0,Finished,2
toro_rosso,Toro Rosso,0,Finished,3
force_india,Force India,0,Finished,4
toro_rosso,Toro Rosso,0,Finished,4
toro_rosso,Toro Rosso,0,Finished,6
mercedes,Mercedes,0,Finished,6
sauber,Sauber,0,Finished,7
toro_rosso,Toro Rosso,0,Finished,7
ferrari,Ferrari,0,Finished,9
sauber,Sauber,0,Finished,9
toro_rosso,Toro Rosso,0,Finished,9
renault,Renault,0,Finished,9
mercedes,Mercedes,0,Finished,9
force_india,Force India,0,Finished,9
force_india,Force India,0,Finished,10
toro_rosso,Toro Rosso,0,Finished,10
renault,Renault,0,Finished,10
ferrari,Ferrari,0,Finished,10
ferrari,Ferrari,0,Finished,10
sauber,Sauber,0,Finished,13
toro_rosso,Toro Rosso,0,Finished,13
toro_rosso,Toro Rosso,0,Finished,13
toro_rosso,Toro Rosso,0,Finished,14
force_india,Force India,0,Finished,14
