season,round,driverId,points,position,wins
2012,8,maldonado,29,10,1
2012,8,resta,27,11,0
2012,8,kobayashi,21,12,0
2012,8,michael_schumacher,17,13,0
2012,8,hulkenberg,17,14,0
2012,8,bruno_senna,16,15,0
2012,8,massa,11,16,0
2012,8,vergne,4,17,0
2012,8,ricciardo,2,18,0
2012,8,kovalainen,0,19,0
2012,8,petrov,0,20,0
2012,8,glock,0,21,0
2012,8,pic,0,22,0
2012,8,karthikeyan,0,23,0
2012,8,rosa,0,24,0
2012,9,alonso,129,1,2
2012,9,webber,116,2,2
2012,9,vettel,100,3,1
2012,9,hamilton,92,4,1
2012,9,raikkonen,83,5,0
2012,9,rosberg,75,6,1
2012,9,grosjean,61,7,0
2012,9,button,50,8,1
2012,9,perez,39,9,0
2012,9,maldonado,29,10,1
2012,9,resta,27,11,0
2012,9,michael_schumacher,23,12,0
2012,9,massa,23,13,0
2012,9,kobayashi,21,14,0
2012,9,bruno_senna,18,15,0
2012,9,hulkenberg,17,16,0
2012,9,vergne,4,17,0
2012,9,ricciardo,2,18,0
2012,9,kovalainen,0,19,0
2012,9,petrov,0,20,0
2012,9,glock,0,21,0
2012,9,pic,0,22,0
2012,9,karthikeyan,0,23,0
2012,9,rosa,0,24,0
2012,10,alonso,154,1,3
2012,10,webber,120,2,2
2012,10,vettel,110,3,1
2012,10,raikkonen,98,4,0
2012,10,hamilton,92,5,1
2012,10,rosberg,76,6,1
2012,10,button,68,7,1
2012,10,grosjean,61,8,0
2012,10,perez,47,9,0
2012,10,kobayashi,33,10,0
2012,10,maldonado,29,11,1
2012,10,michael_schumacher,29,12,0
2012,10,resta,27,13,0
2012,10,massa,23,14,0
2012,10,hulkenberg,19,15,0
2012,10,bruno_senna,18,16,0
2012,10,vergne,4,17,0
2012,10,ricciardo,2,18,0
2012,10,kovalainen,0,19,0
2012,10,petrov,0,20,0
2012,10,glock,0,21,0
2012,10,pic,0,22,0
2012,10,karthikeyan,0,23,0
2012,10,rosa,0,24,0
2012,11,alonso,164,1,3
2012,11,webber,124,2,2
2012,11,vettel,122,3,1
2012,11,hamilton,117,4,2
2012,11,raikkonen,116,5,0
2012,11,rosberg,77,6,1
2012,11,button,76,7,1
2012,11,grosjean,76,8,0
2012,11,perez,47,9,0
2012,11,kobayashi,33,10,0
2012,11,maldonado,29,11,1
2012,11,michael_schumacher,29,12,0
2012,11,resta,27,13,0
2012,11,massa,25,14,0
2012,11,bruno_senna,24,15,0
2012,11,hulkenberg,19,16,0
2012,11,vergne,4,17,0
2012,11,ricciardo,2,18,0
2012,11,kovalainen,0,19,0
2012,11,petrov,0,20,0
2012,11,glock,0,21,0
2012,11,pic,0,22,0
2012,11,karthikeyan,0,23,0
2012,11,rosa,0,24,0
2012,12,alonso,164,1,3
2012,12,vettel,140,2,1
2012,12,webber,132,3,2
2012,12,raikkonen,131,4,0
2012,12,hamilton,117,5,2
2012,12,button,101,6,2
2012,12,rosberg,77,7,1
2012,12,grosjean,76,8,0
2012,12,perez,47,9,0
2012,12,michael_schumacher,35,10,0
2012,12,massa,35,11,0
2012,12,kobayashi,33,12,0
2012,12,hulkenberg,31,13,0
2012,12,maldonado,29,14,1
2012,12,resta,28,15,0
2012,12,bruno_senna,24,16,0
2012,12,vergne,8,17,0
2012,12,ricciardo,4,18,0
2012,12,petrov,0,19,0
2012,12,kovalainen,0,20,0
2012,12,glock,0,21,0
2012,12,pic,0,22,0
2012,12,karthikeyan,0,23,0
2012,12,rosa,0,24,0
2012,13,alonso,179,1,3
2012,13,hamilton,142,2,3
2012,13,raikkonen,141,3,0
2012,13,vettel,140,4,1
2012,13,webber,132,5,2
2012,13,button,101,6,2
2012,13,rosberg,83,7,1
2012,13,grosjean,76,8,0
2012,13,perez,65,9,0
2012,13,massa,47,10,0
2012,13,michael_schumacher,43,11,0
2012,13,kobayashi,35,12,0
2012,13,resta,32,13,0
2012,13,hulkenberg,31,14,0
2012,13,maldonado,29,15,1
2012,13,bruno_senna,25,16,0
2012,13,vergne,8,17,0
2012,13,ricciardo,4,18,0
2012,13,kovalainen,0,19,0
2012,13,petrov,0,20,0
2012,13,ambrosio,0,21,0
2012,13,glock,0,22,0
2012,13,pic,0,23,0
2012,13,karthikeyan,0,24,0
2012,13,rosa,0,25,0
2012,14,alonso,194,1,3
2012,14,vettel,165,2,2
2012,14,raikkonen,149,3,0
2012,14,hamilton,142,4,3
2012,14,webber,132,5,2
2012,14,button,119,6,2
2012,14,rosberg,93,7,1
2012,14,grosjean,82,8,0
2012,14,perez,66,9,0
2012,14,massa,51,10,0
2012,14,resta,44,11,0
2012,14,michael_schumacher,43,12,0
2012,14,kobayashi,35,13,0
2012,14,hulkenberg,31,14,0
2012,14,maldonado,29,15,1
2012,14,bruno_senna,25,16,0
2012,14,vergne,8,17,0
2012,14,ricciardo,6,18,0
2012,14,glock,0,19,0
2012,14,kovalainen,0,20,0
2012,14,petrov,0,21,0
2012,14,ambrosio,0,22,0
2012,14,pic,0,23,0
2012,14,karthikeyan,0,24,0
2012,14,rosa,0,25,0
2012,15,alonso,194,1,3
2012,15,vettel,190,2,3
2012,15,raikkonen,157,3,0
2012,15,hamilton,152,4,3
2012,15,webber,134,5,2
2012,15,button,131,6,2
2012,15,rosberg,93,7,1
2012,15,grosjean,82,8,0
2012,15,massa,69,9,0
2012,15,perez,66,10,0
2012,15,kobayashi,50,11,0
2012,15,resta,44,12,0
2012,15,michael_schumacher,43,13,0
2012,15,hulkenberg,37,14,0
2012,15,maldonado,33,15,1
2012,15,bruno_senna,25,16,0
2012,15,vergne,8,17,0
2012,15,ricciardo,7,18,0
2012,15,glock,0,19,0
2012,15,kovalainen,0,20,0
2012,15,petrov,0,21,0
2012,15,ambrosio,0,22,0
2012,15,pic,0,23,0
2012,15,karthikeyan,0,24,0
2012,15,rosa,0,25,0
2012,16,vettel,215,1,4
2012,16,alonso,209,2,3
2012,16,raikkonen,167,3,0
2012,16,hamilton,153,4,3
2012,16,webber,152,5,2
2012,16,button,131,6,2
2012,16,rosberg,93,7,1
2012,16,grosjean,88,8,0
2012,16,massa,81,9,0
2012,16,perez,66,10,0
2012,16,kobayashi,50,11,0
2012,16,hulkenberg,45,12,0
2012,16,resta,44,13,0
2012,16,michael_schumacher,43,14,0
2012,16,maldonado,33,15,1
2012,16,bruno_senna,25,16,0
2012,16,vergne,12,17,0
2012,16,ricciardo,9,18,0
2012,16,glock,0,19,0
2012,16,kovalainen,0,20,0
2012,16,petrov,0,21,0
2012,16,ambrosio,0,22,0
2012,16,pic,0,23,0
2012,16,karthikeyan,0,24,0
2012,16,rosa,0,25,0
2012,17,vettel,240,1,5
2012,17,alonso,227,2,3
2012,17,raikkonen,173,3,0
2012,17,webber,167,4,2
2012,17,hamilton,165,5,3
2012,17,button,141,6,2
2012,17,rosberg,93,7,1
2012,17,grosjean,90,8,0
2012,17,massa,89,9,0
2012,17,perez,66,10,0
2012,17,kobayashi,50,11,0
2012,17,hulkenberg,49,12,0
2012,17,resta,44,13,0
2012,17,michael_schumacher,43,14,0
2012,17,maldonado,33,15,1
2012,17,bruno_senna,26,16,0
2012,17,vergne,12,17,0
2012,17,ricciardo,9,18,0
2012,17,glock,0,19,0
2012,17,kovalainen,0,20,0
2012,17,petrov,0,21,0
2012,17,ambrosio,0,22,0
2012,17,pic,0,23,0
2012,17,karthikeyan,0,24,0
2012,17,rosa,0,25,0
2012,18,vettel,255,1,5
2012,18,alonso,245,2,3
2012,18,raikkonen,198,3,1
2012,18,webber,167,4,2
2012,18,hamilton,165,5,3
2012,18,button,153,6,2
2012,18,massa,95,7,0
2012,18,rosberg,93,8,1
2012,18,grosjean,90,9,0
2012,18,perez,66,10,0
2012,18,kobayashi,58,11,0
2012,18,hulkenberg,49,12,0
2012,18,resta,46,13,0
2012,18,maldonado,43,14,1
2012,18,michael_schumacher,43,15,0
2012,18,bruno_senna,30,16,0
2012,18,vergne,12,17,0
2012,18,ricciardo,10,18,0
2012,18,glock,0,19,0
2012,18,kovalainen,0,20,0
2012,18,petrov,0,21,0
2012,18,ambrosio,0,22,0
2012,18,pic,0,23,0
2012,18,karthikeyan,0,24,0
2012,18,rosa,0,25,0
2012,19,vettel,273,1,5
2012,19,alonso,260,2,3
2012,19,raikkonen,206,3,1
2012,19,hamilton,190,4,4
2012,19,webber,167,5,2
2012,19,button,163,6,2
2012,19,massa,107,7,0
2012,19,grosjean,96,8,0
2012,19,rosberg,93,9,1
2012,19,perez,66,10,0
2012,19,kobayashi,58,11,0
2012,19,hulkenberg,53,12,0
2012,19,resta,46,13,0
2012,19,maldonado,45,14,1
2012,19,michael_schumacher,43,15,0
2012,19,bruno_senna,31,16,0
2012,19,vergne,12,17,0
2012,19,ricciardo,10,18,0
2012,19,glock,0,19,0
2012,19,kovalainen,0,20,0
2012,19,petrov,0,21,0
2012,19,ambrosio,0,22,0
2012,19,pic,0,23,0
2012,19,karthikeyan,0,24,0
2012,19,rosa,0,25,0
2012,20,vettel,281,1,5
2012,20,alonso,278,2,3
2012,20,raikkonen,207,3,1
2012,20,hamilton,190,4,4
2012,20,button,188,5,3
2012,20,webber,179,6,2
2012,20,massa,122,7,0
2012,20,grosjean,96,8,0
2012,20,rosberg,93,9,1
2012,20,perez,66,10,0
2012,20,hulkenberg,63,11,0
2012,20,kobayashi,60,12,0
2012,20,michael_schumacher,49,13,0
2012,20,resta,46,14,0
2012,20,maldonado,45,15,1
2012,20,bruno_senna,31,16,0
2012,20,vergne,16,17,0
2012,20,ricciardo,10,18,0
2012,20,petrov,0,19,0
2012,20,glock,0,20,0
2012,20,pic,0,21,0
2012,20,kovalainen,0,22,0
2012,20,ambrosio,0,23,0
2012,20,karthikeyan,0,24,0
2012,20,rosa,0,25,0
